"","Lower95","Median","Upper95","Mean","SD","Mode","MCerr","MC.ofSD","SSeff","AC.50","psrf","parameter","est","l95","u95"
"GivenDetectionAtD.8_pred[3]",0,0,1,0.1029,0.357650278757566,0,0.0014505327864481,0.4,60794,0.00102978076121945,1.00001576616515,"GivenDetectionAtD.8_pred[3]",0.103,0,1
"GivenDetectionAtD.8_pred[4]",0,4,9,4.10505,2.76741916009245,3,0.0112295231883262,0.4,60733,0.006491609337307,0.999977769195255,"GivenDetectionAtD.8_pred[4]",4.105,0,9
"Auxiliary_D.14_pred[1]",0,0,2,0.367866666666667,0.75983577484149,0,0.00308954931079583,0.4,60485,-0.000126385872523061,0.999998023570955,"Auxiliary_D.14_pred[1]",0.368,0,2
"Auxiliary_D.14_pred[2]",0,0,2,0.369433333333333,0.766156290939774,0,0.00312781996004308,0.4,60000,0.00138848359154256,1.00005785046178,"Auxiliary_D.14_pred[2]",0.369,0,2
"Auxiliary_D.14_pred[3]",0,0,3,0.6868,1.07079014588556,0,0.00442840515513242,0.4,58467,-0.000988688505789818,1.00025125017325,"Auxiliary_D.14_pred[3]",0.687,0,3
"GivenDetectionAtD.14_pred[1]",0,0,3,0.841,1.17286341637744,0,0.00478819484683705,0.4,60000,0.0022065341455799,1.0000128838685,"GivenDetectionAtD.14_pred[1]",0.841,0,3
"GivenDetectionAtD.14_pred[2]",0,0,3,0.5831,0.981076160061251,0,0.00398359770563139,0.4,60653,-0.000731846774218041,1.00007200546982,"GivenDetectionAtD.14_pred[2]",0.583,0,3
"Auxiliary_D.15_pred[1]",0,0,2,0.5685,0.969255766526918,0,0.00404089002539814,0.4,57534,-0.00297262329300469,1.00015731915627,"Auxiliary_D.15_pred[1]",0.569,0,2
"Auxiliary_D.15_pred[2]",0,0,2,0.56535,0.959259113657055,0,0.00394283533551597,0.4,59191,0.0052290769773235,1.00008202837507,"Auxiliary_D.15_pred[2]",0.565,0,2
"Auxiliary_D.15_pred[3]",0,2,7,2.67558333333333,2.18671371125786,1,0.00896869769633471,0.4,59446,0.00539929933057289,0.999999808815735,"Auxiliary_D.15_pred[3]",2.676,0,7
"GivenDetectionAtD.15_pred[1]",0,1,5,1.84791666666667,1.78462145592594,1,0.00731430286777462,0.4,59531,0.00171395055835333,1.00001424854329,"GivenDetectionAtD.15_pred[1]",1.848,0,5
"GivenDetectionAtD.15_pred[2]",0,2,6,1.96151666666667,1.85075465363061,1,0.0075845177222142,0.4,59545,0.00367802409986529,1.00000999054875,"GivenDetectionAtD.15_pred[2]",1.962,0,6
"Auxiliary_D.21_pred[1]",0,0,2,0.354466666666667,0.739974667312352,0,0.00302199245954299,0.4,59958,0.0084183517562288,1.00004463008493,"Auxiliary_D.21_pred[1]",0.354,0,2
"Auxiliary_D.21_pred[2]",0,0,2,0.355816666666667,0.74598063503062,0,0.0030591905361313,0.4,59462,-0.00461774982656451,1.00029356004899,"Auxiliary_D.21_pred[2]",0.356,0,2
"Auxiliary_D.21_pred[3]",0,0,3,0.613516666666667,0.989307979630306,0,0.00403883291426338,0.4,60000,0.003055697398579,1.00001295632998,"Auxiliary_D.21_pred[3]",0.614,0,3
"GivenDetectionAtD.21_pred[1]",0,0,2,0.4042,0.791222341620798,0,0.0032119209262643,0.4,60683,0.0020877198733493,1.00015843003811,"GivenDetectionAtD.21_pred[1]",0.404,0,2
"GivenDetectionAtD.21_pred[2]",0,1,3,0.9196,1.2391777244167,0,0.0050589218757401,0.4,60000,0.00165149198525884,1.00006319039388,"GivenDetectionAtD.21_pred[2]",0.92,0,3
"Auxiliary_D.22_pred[1]",0,0,2,0.5284,0.922988428129324,0,0.0038018611966337,0.4,58939,-2.65201746649105e-05,1.00002859234671,"Auxiliary_D.22_pred[1]",0.528,0,2
"Auxiliary_D.22_pred[2]",0,0,2,0.530083333333333,0.926395863842143,0,0.00394707376537766,0.4,55086,0.000631659929745042,1.00001218665351,"Auxiliary_D.22_pred[2]",0.53,0,2
"Auxiliary_D.22_pred[3]",0,2,6,2.43575,2.05737919474895,1,0.00836244027773427,0.4,60529,-0.00369114548199261,1.00005321324859,"Auxiliary_D.22_pred[3]",2.436,0,6
"GivenDetectionAtD.22_pred[1]",0,1,4,1.13813333333333,1.37540928868492,0,0.00559525871250608,0.4,60426,-0.00123310392881723,1.00000628830119,"GivenDetectionAtD.22_pred[1]",1.138,0,4
"GivenDetectionAtD.22_pred[2]",0,2,6,2.3561,2.03100833903948,1,0.00810404627194044,0.4,62809,-0.00413491152017058,1.00000640861165,"GivenDetectionAtD.22_pred[2]",2.356,0,6
"Auxiliary_H.30_pred[1]",0,1,5,1.45601666666667,1.5779967155488,0,0.006442144614804,0.4,60000,-0.00124171206673987,0.999995650444522,"Auxiliary_H.30_pred[1]",1.456,0,5
"Auxiliary_H.30_pred[2]",0,0,3,0.691233333333333,1.07223239408597,0,0.00447067244981079,0.4,57522,-0.00426165426230101,1.00001292771633,"Auxiliary_H.30_pred[2]",0.691,0,3
"Auxiliary_H.30_pred[3]",0,2,6,2.3725,2.04042801207031,1,0.00833001247742286,0.4,60000,0.001838372261139,1.00000443220423,"Auxiliary_H.30_pred[3]",2.372,0,6
