"","Lower95","Median","Upper95","Mean","SD","Mode","MCerr","MC.ofSD","SSeff","AC.50","psrf","parameter","est","l95","u95"
"r2_sac",0.579909,0.7259715,0.864393,0.722007583966667,0.0738105765220834,NA,0.000295001818396939,0.4,62602,0.000828196759309866,1.00016880733852,"r2_sac",0.722,0.58,0.864
"Auxiliary_D.3_pred[1]",0,5,11,5.68576666666667,3.06709105337306,5,0.0125213467923657,0.4,60000,-0.00261589291199209,0.999989059769771,"Auxiliary_D.3_pred[1]",5.686,0,11
"Auxiliary_D.3_pred[2]",4,11,19,11.43715,4.04579897576765,11,0.0165169051541754,0.4,60000,-0.00317430393335053,1.00004003147393,"Auxiliary_D.3_pred[2]",11.437,4,19
"Auxiliary_D.3_pred[3]",19,28,36,27.8770833333333,4.49223899222221,27,0.0183394888892977,0.4,60000,0.00261677430526907,1.00001837174885,"Auxiliary_D.3_pred[3]",27.877,19,36
"GivenDetectionAtD.3_pred[1]",19,28,35,27.5184833333333,4.30501265022774,27,0.0176367554845208,0.4,59582,-0.00721733748505699,1.00001204896583,"GivenDetectionAtD.3_pred[1]",27.518,19,35
"GivenDetectionAtD.3_pred[2]",0,4,9,4.01441666666667,2.55713077654475,3,0.0103994841264395,0.4,60462,-0.00483968326989439,1.0000348649721,"GivenDetectionAtD.3_pred[2]",4.014,0,9
"GivenDetectionAtD.3_pred[3]",0,5,10,5.06318333333333,2.87159571796269,4,0.0117232404276164,0.4,60000,0.0037836124054871,1.00003695765006,"GivenDetectionAtD.3_pred[3]",5.063,0,10
"GivenDetectionAtD.3_pred[4]",0,1,4,1.43331666666667,1.31817384770008,1,0.00538142219857754,0.4,60000,0.00166972160600519,1.00000576291545,"GivenDetectionAtD.3_pred[4]",1.433,0,4
"GivenDetectionAtD.3_pred[5]",0,3,8,3.76383333333333,2.204988209743,3,0.009076382637992,0.4,59018,-0.00257350253884098,1.00006635988742,"GivenDetectionAtD.3_pred[5]",3.764,0,8
"GivenDetectionAtD.3_pred[6]",0,1,3,1.01661666666667,1.20761398023029,0,0.00493006342969311,0.4,60000,0.00378799565415506,1.00003204928615,"GivenDetectionAtD.3_pred[6]",1.017,0,3
"GivenDetectionAtD.3_pred[7]",0,2,6,2.19015,1.92868391427782,1,0.00807919084022254,0.4,56988,-0.00542111165642044,1.00000312235567,"GivenDetectionAtD.3_pred[7]",2.19,0,6
"Auxiliary_D.8_pred[1]",3,8,15,8.3845,3.34952435507244,7,0.013674375918254,0.4,60000,0.00165694356563191,1.00013454169526,"Auxiliary_D.8_pred[1]",8.384,3,15
"Auxiliary_D.8_pred[2]",1,7,13,7.49216666666667,3.17777284843124,7,0.0129732033285453,0.4,60000,-0.0025987720385476,1.0000377067019,"Auxiliary_D.8_pred[2]",7.492,1,13
"Auxiliary_D.8_pred[3]",5,11,19,11.6418166666667,3.817420277886,11,0.0156391223308657,0.4,59582,-0.00282244162224058,1.00014280000272,"Auxiliary_D.8_pred[3]",11.642,5,19
"GivenDetectionAtD.8_pred[1]",1,7,13,7.34843333333333,3.23858029887502,6,0.0130562509427208,0.4,61528,-0.00229403646746626,1.00011620658545,"GivenDetectionAtD.8_pred[1]",7.348,1,13
"GivenDetectionAtD.8_pred[2]",11,19,27,19.21,4.35553473694265,19,0.0177378412974232,0.4,60295,0.000161932817187517,1.00013153002264,"GivenDetectionAtD.8_pred[2]",19.21,11,27
"GivenDetectionAtD.8_pred[3]",0,0,1,0.08455,0.305673335610313,0,0.00125094528955852,0.4,59709,0.00097608585298701,1.00003191517105,"GivenDetectionAtD.8_pred[3]",0.085,0,1
"GivenDetectionAtD.8_pred[4]",0,0,3,0.8755,1.23209511982899,0,0.00532726767711262,0.4,53491,0.000785303358269016,1.00005778742878,"GivenDetectionAtD.8_pred[4]",0.875,0,3
"Auxiliary_D.14_pred[1]",0,0,2,0.36885,0.72118537559523,0,0.00294422696694305,0.4,60000,0.000282227369043537,1.00005254094846,"Auxiliary_D.14_pred[1]",0.369,0,2
"Auxiliary_D.14_pred[2]",0,2,6,2.55493333333333,2.03908924775374,1,0.00825456665442509,0.4,61022,-0.00625964775645532,1.00009491222904,"Auxiliary_D.14_pred[2]",2.555,0,6
"Auxiliary_D.14_pred[3]",0,1,4,1.09063333333333,1.32386359158929,0,0.00540465048073717,0.4,60000,-0.00425497220715359,1.00001199648251,"Auxiliary_D.14_pred[3]",1.091,0,4
"GivenDetectionAtD.14_pred[1]",0,2,7,2.7295,2.10809641252673,2,0.0084539415499788,0.4,62182,-0.00175397099368836,1.00014874947461,"GivenDetectionAtD.14_pred[1]",2.729,0,7
"GivenDetectionAtD.14_pred[2]",0,1,4,1.28491666666667,1.444520890722,0,0.00591715966286907,0.4,59597,0.00170118961545946,0.999998182168473,"GivenDetectionAtD.14_pred[2]",1.285,0,4
"Auxiliary_D.15_pred[1]",0,2,6,2.07405,1.84158169007478,1,0.00753159183797799,0.4,59787,0.00254926075647278,1.00003898315645,"Auxiliary_D.15_pred[1]",2.074,0,6
"Auxiliary_D.15_pred[2]",0,0,2,0.579783333333333,0.945524291945303,0,0.0038761702319602,0.4,59503,0.00470320703653339,1.00010253940689,"Auxiliary_D.15_pred[2]",0.58,0,2
"Auxiliary_D.15_pred[3]",0,2,6,2.40935,1.99640902747494,1,0.0081503057253326,0.4,60000,0.00541400090117085,0.999980423610785,"Auxiliary_D.15_pred[3]",2.409,0,6
"GivenDetectionAtD.15_pred[1]",0,3,8,3.64821666666667,2.45685417188918,3,0.0100300651559273,0.4,60000,0.00127068252229149,1.00001656333512,"GivenDetectionAtD.15_pred[1]",3.648,0,8
"GivenDetectionAtD.15_pred[2]",0,1,4,1.41496666666667,1.53696954105963,0,0.00621625419803076,0.4,61133,0.00371711528096546,1.00003728052416,"GivenDetectionAtD.15_pred[2]",1.415,0,4
"Auxiliary_D.21_pred[1]",0,0,3,0.7437,1.12295651170862,0,0.00473371827060093,0.4,56276,-0.00248542412802124,1.00003490622055,"Auxiliary_D.21_pred[1]",0.744,0,3
"Auxiliary_D.21_pred[2]",0,0,3,0.743133333333333,1.12336127220855,0,0.00478767728628111,0.4,55054,-0.00344913688830835,1.00015119799935,"Auxiliary_D.21_pred[2]",0.743,0,3
