"","Lower95","Median","Upper95","Mean","SD","Mode","MCerr","MC.ofSD","SSeff","AC.50","psrf","parameter","est","l95","u95"
"GivenDetectionAtD.21_pred[1]",0,2,6,2.40316666666667,2.03535230771952,1,0.00837582973765131,0.4,59050,-0.000581954852112634,1.00000524067359,"GivenDetectionAtD.21_pred[1]",2.403,0,6
"GivenDetectionAtD.21_pred[2]",0,4,10,4.79498333333333,2.83296404162553,3,0.011607630124478,0.4,59566,0.00567934345226477,0.999993923337618,"GivenDetectionAtD.21_pred[2]",4.795,0,10
"Auxiliary_D.22_pred[1]",0,1,5,1.62811666666667,1.67155596816603,0,0.00698081083630997,0.4,57336,-0.00135574012536023,1.00015951864162,"Auxiliary_D.22_pred[1]",1.628,0,5
"Auxiliary_D.22_pred[2]",0,4,9,4.27468333333333,2.67063998666135,3,0.010943512943557,0.4,59555,0.00194378098039655,1.00015038239229,"Auxiliary_D.22_pred[2]",4.275,0,9
"Auxiliary_D.22_pred[3]",20,30,39,30.2227333333333,4.89305516986785,29,0.0202580369900373,0.4,58340,-0.00379053669747082,0.999988639889697,"Auxiliary_D.22_pred[3]",30.223,20,39
"GivenDetectionAtD.22_pred[1]",16,26,35,26.4988333333333,4.97216693333558,26,0.0202987865043519,0.4,60000,0.00196406775899169,0.999994539477994,"GivenDetectionAtD.22_pred[1]",26.499,16,35
"GivenDetectionAtD.22_pred[2]",2,9,16,9.6267,3.80365020814416,8,0.015584434628455,0.4,59569,0.00225100245493945,1.00006414238281,"GivenDetectionAtD.22_pred[2]",9.627,2,16
"Auxiliary_H.30_pred[1]",0,0,3,0.8894,1.27740420489824,0,0.00556939577227161,0.4,52607,-0.00536511120610583,1.00002660902973,"Auxiliary_H.30_pred[1]",0.889,0,3
"Auxiliary_H.30_pred[2]",0,0,3,0.895266666666667,1.28388410751474,0,0.00562562508218541,0.4,52085,0.000909358121697206,1.00009398161208,"Auxiliary_H.30_pred[2]",0.895,0,3
"Auxiliary_H.30_pred[3]",22,31,40,31.2828833333333,4.84130330145542,32,0.0201725368970902,0.4,57597,-0.0046735147530732,1.00001067962636,"Auxiliary_H.30_pred[3]",31.283,22,40
