"","Lower95","Median","Upper95","Mean","SD","Mode","MCerr","MC.ofSD","SSeff","AC.50","psrf","parameter","est","l95","u95"
"Auxiliary_D.3_pred[1]",0,0,4,0.978683333333333,1.3908371005212,0,0.00612463295225318,0.4,51569,0.0023102426772253,1.00015901810207,"Auxiliary_D.3_pred[1]",0.979,0,4
"Auxiliary_D.3_pred[2]",0,0,4,0.965133333333333,1.37832603010547,0,0.00612324230883657,0.4,50669,-0.00525919087290303,1.00020550110582,"Auxiliary_D.3_pred[2]",0.965,0,4
"Auxiliary_D.3_pred[3]",51,74,95,74.7403,11.3399999634033,75,0.0466904837040782,0.4,58989,-0.00235233044190479,0.999987027659343,"Auxiliary_D.3_pred[3]",74.74,51,95
"GivenDetectionAtD.3_pred[1]",25,42,59,42.5208,8.80138578671163,41,0.0363326355193911,0.4,58682,0.00284139804909016,0.999999650577658,"GivenDetectionAtD.3_pred[1]",42.521,25,59
"GivenDetectionAtD.3_pred[2]",0,1,5,1.64253333333333,1.74997198708669,0,0.00717921696547943,0.4,59417,-0.00611264498874643,1.00014496545674,"GivenDetectionAtD.3_pred[2]",1.643,0,5
"GivenDetectionAtD.3_pred[3]",4,12,22,12.6091666666667,4.92862937289335,11,0.0201996281401511,0.4,59534,-0.00345765929943316,1.00003048379629,"GivenDetectionAtD.3_pred[3]",12.609,4,22
"GivenDetectionAtD.3_pred[4]",0,0,0,0.0204166666666667,0.145029342826639,0,0.000592079812760704,0.4,60000,-0.00151108174229569,1.00001941862027,"GivenDetectionAtD.3_pred[4]",0.02,0,0
"GivenDetectionAtD.3_pred[5]",0,0,1,0.0607,0.255179535379677,0,0.00104710690503255,0.4,59389,-0.00622544447931095,1.00049317706697,"GivenDetectionAtD.3_pred[5]",0.061,0,1
"GivenDetectionAtD.3_pred[6]",0,0,1,0.19565,0.522470694961722,0,0.00213685621837023,0.4,59782,-0.000410215038581697,1.00003278547862,"GivenDetectionAtD.3_pred[6]",0.196,0,1
"GivenDetectionAtD.3_pred[7]",8,19,31,19.63485,6.15183275360038,19,0.0251147520487697,0.4,60000,-0.0042010296738995,0.999991163037357,"GivenDetectionAtD.3_pred[7]",19.635,8,31
"Auxiliary_D.8_pred[1]",0,1,5,1.79538333333333,1.84030028296319,0,0.0076734118668491,0.4,57518,-0.00318893557200485,1.00002126759414,"Auxiliary_D.8_pred[1]",1.795,0,5
"Auxiliary_D.8_pred[2]",0,1,5,1.82568333333333,1.87342525740744,0,0.00782590708042309,0.4,57306,-0.00982064961490738,1.00000507971659,"Auxiliary_D.8_pred[2]",1.826,0,5
"Auxiliary_D.8_pred[3]",23,38,55,38.90655,8.42462066414401,38,0.0351610515446272,0.4,57409,0.00161140717171102,1.00000561034359,"Auxiliary_D.8_pred[3]",38.907,23,55
"GivenDetectionAtD.8_pred[1]",2,10,18,10.1227166666667,4.40077039460782,9,0.0178546243574271,0.4,60751,-0.00135304040611238,0.99998614716792,"GivenDetectionAtD.8_pred[1]",10.123,2,18
"GivenDetectionAtD.8_pred[2]",15,30,44,30.4122,7.49423515461557,28,0.0306297864457857,0.4,59864,0.00364328668041752,0.999989684104958,"GivenDetectionAtD.8_pred[2]",30.412,15,44
"GivenDetectionAtD.8_pred[3]",0,0,1,0.08865,0.309019043177198,0,0.00126156496097863,0.4,60000,0.00154072737366737,1.00002487045081,"GivenDetectionAtD.8_pred[3]",0.089,0,1
"GivenDetectionAtD.8_pred[4]",0,1,6,1.90405,1.91371487842641,0,0.00797774295053625,0.4,57543,-0.00626765360870815,1.00012750009691,"GivenDetectionAtD.8_pred[4]",1.904,0,6
"Auxiliary_D.14_pred[1]",0,0,2,0.431683333333333,0.84097837098578,0,0.00342740027933977,0.4,60206,-0.00398130465023741,1.00004292322102,"Auxiliary_D.14_pred[1]",0.432,0,2
"Auxiliary_D.14_pred[2]",0,0,2,0.424433333333333,0.839147234810585,0,0.00342491352332681,0.4,60031,-0.0065529715017993,1.00014429633872,"Auxiliary_D.14_pred[2]",0.424,0,2
"Auxiliary_D.14_pred[3]",0,0,3,0.7867,1.1668300939759,0,0.00478519487404924,0.4,59459,-0.00153774474534436,1.00020327011075,"Auxiliary_D.14_pred[3]",0.787,0,3
"GivenDetectionAtD.14_pred[1]",0,1,4,1.0491,1.35647331599174,0,0.00553777912313459,0.4,60000,-0.00449041434721081,1.0001951511099,"GivenDetectionAtD.14_pred[1]",1.049,0,4
"GivenDetectionAtD.14_pred[2]",0,0,3,0.593716666666667,1.02345883039908,0,0.00419118542179831,0.4,59630,0.00761862550385693,1.00006019579615,"GivenDetectionAtD.14_pred[2]",0.594,0,3
"Auxiliary_D.15_pred[1]",0,0,3,0.793766666666667,1.19444195774236,0,0.00504968069763993,0.4,55950,0.000991830868460169,1.0001105793755,"Auxiliary_D.15_pred[1]",0.794,0,3
"Auxiliary_D.15_pred[2]",0,0,3,0.7951,1.19720781199802,0,0.00505506490435583,0.4,56090,0.00524717230532421,1.00005118677359,"Auxiliary_D.15_pred[2]",0.795,0,3
"Auxiliary_D.15_pred[3]",2,11,19,11.0224333333333,4.60023725278765,10,0.0189482897273235,0.4,58941,-0.00411633291574643,1.00001560364708,"Auxiliary_D.15_pred[3]",11.022,2,19
"GivenDetectionAtD.15_pred[1]",2,9,17,9.21951666666667,4.17741386659647,8,0.0170784473866747,0.4,59830,-0.00533019684234045,1.00004316189834,"GivenDetectionAtD.15_pred[1]",9.22,2,17
"GivenDetectionAtD.15_pred[2]",0,3,8,3.39178333333333,2.51455652875369,2,0.0102669581086085,0.4,59985,0.0035692876648204,0.999998568981968,"GivenDetectionAtD.15_pred[2]",3.392,0,8
"Auxiliary_D.21_pred[1]",0,0,3,0.803016666666667,1.21401762632818,0,0.0050830466220356,0.4,57043,0.00157667620747856,1.00003274927268,"Auxiliary_D.21_pred[1]",0.803,0,3
"Auxiliary_D.21_pred[2]",0,0,3,0.7936,1.2002734622881,0,0.00506876203935495,0.4,56073,0.000773589379305082,1.00001964465968,"Auxiliary_D.21_pred[2]",0.794,0,3
"Auxiliary_D.21_pred[3]",1,8,16,8.54651666666667,4.02742761606077,7,0.0166525320395605,0.4,58492,-0.00100548056391161,0.999992099043898,"Auxiliary_D.21_pred[3]",8.547,1,16
"GivenDetectionAtD.21_pred[1]",0,2,7,2.52003333333333,2.1635487856632,1,0.0088606510313251,0.4,59621,0.0037519486072655,1.00008350555748,"GivenDetectionAtD.21_pred[1]",2.52,0,7
"GivenDetectionAtD.21_pred[2]",1,7,15,7.6231,3.81135870317302,6,0.0154763410856165,0.4,60649,0.000286775835008272,0.999983342642662,"GivenDetectionAtD.21_pred[2]",7.623,1,15
"Auxiliary_D.22_pred[1]",0,1,5,1.72448333333333,1.78906695768079,0,0.00731233588325927,0.4,59861,4.96847913433152e-05,1.00006581879965,"Auxiliary_D.22_pred[1]",1.724,0,5
"Auxiliary_D.22_pred[2]",0,1,5,1.72651666666667,1.78437942524036,0,0.00738436496419168,0.4,58391,0.00247598896267766,1.00004113133517,"Auxiliary_D.22_pred[2]",1.727,0,5
"Auxiliary_D.22_pred[3]",13,27,40,27.0219,7.05346365831424,26,0.0289036986898281,0.4,59552,0.00475140300603742,1.00000908582656,"Auxiliary_D.22_pred[3]",27.022,13,40
"GivenDetectionAtD.22_pred[1]",8,18,30,18.7958666666667,5.93907827807218,18,0.0242205135455773,0.4,60127,0.000776709166054291,1.00002126168641,"GivenDetectionAtD.22_pred[1]",18.796,8,30
"GivenDetectionAtD.22_pred[2]",3,11,20,11.6770333333333,4.68228839307934,10,0.0193268371165315,0.4,58694,0.00435662518237657,1.00008248872495,"GivenDetectionAtD.22_pred[2]",11.677,3,20
"Auxiliary_H.30_pred[1]",0,5,11,5.47766666666667,3.21725147716805,4,0.0132928562803365,0.4,58578,4.20586176813799e-05,1.00010339957014,"Auxiliary_H.30_pred[1]",5.478,0,11
"Auxiliary_H.30_pred[2]",0,0,4,0.911733333333333,1.31305155926777,0,0.00586243336912632,0.4,50166,0.00992135284385492,1.00004434107027,"Auxiliary_H.30_pred[2]",0.912,0,4
"Auxiliary_H.30_pred[3]",12,25,38,25.4794666666667,6.8702594606492,25,0.0288124102232444,0.4,56857,-0.000347072879207072,0.999991554602173,"Auxiliary_H.30_pred[3]",25.479,12,38
