"","Lower95","Median","Upper95","Mean","SD","Mode","MCerr","MC.ofSD","SSeff","AC.50","psrf","parameter","est","l95","u95"
"r2_sac",0.707512,0.760999,0.812617,0.76049253105,0.0269421326707405,NA,0.000111794825611894,0.4,58079,-0.00628980420828,0.999995712744427,"r2_sac",0.76,0.708,0.813
"Auxiliary_D.3_pred[1]",28,45,62,45.4794,8.78897015620185,44,0.0361996848823089,0.4,58948,0.0078350779757919,0.999987761254853,"Auxiliary_D.3_pred[1]",45.479,28,62
"Auxiliary_D.3_pred[2]",107,133,156,133.119816666667,12.542088437182,133,0.050948702523883,0.4,60600,0.0022426731252493,1.00000434310264,"Auxiliary_D.3_pred[2]",133.12,107,156
"Auxiliary_D.3_pred[3]",123,148,172,148.400783333333,12.6478175524951,148,0.0519217559090245,0.4,59338,0.00404950232358014,0.999989776678516,"Auxiliary_D.3_pred[3]",148.401,123,172
"GivenDetectionAtD.3_pred[1]",124,149,171,149.172516666667,12.1639146938832,150,0.0496448646871846,0.4,60034,-0.0060225125425439,0.999992120701933,"GivenDetectionAtD.3_pred[1]",149.173,124,171
"GivenDetectionAtD.3_pred[2]",10,23,35,22.9541833333333,6.49090284141714,21,0.0265405049465224,0.4,59812,0.000794373866498599,1.000001383133,"GivenDetectionAtD.3_pred[2]",22.954,10,35
"GivenDetectionAtD.3_pred[3]",5,15,25,15.3126666666667,5.31714310092693,14,0.0216720881092411,0.4,60194,0.00430639773396738,1.00002541723981,"GivenDetectionAtD.3_pred[3]",15.313,5,25
"GivenDetectionAtD.3_pred[4]",13,24,35,24.2584833333333,5.75690212398039,23,0.0237542152973565,0.4,58735,-0.00190808715049257,0.999985603477541,"GivenDetectionAtD.3_pred[4]",24.258,13,35
"GivenDetectionAtD.3_pred[5]",56,77,95,77.2437,10.0126527219435,77,0.0408764835674175,0.4,60000,-0.000527555646444299,1.00002142879961,"GivenDetectionAtD.3_pred[5]",77.244,56,95
"GivenDetectionAtD.3_pred[6]",4,12,21,12.1788166666667,4.62301461575213,11,0.0183765224922957,0.4,63288,-0.00099067293241901,1.00001313773315,"GivenDetectionAtD.3_pred[6]",12.179,4,21
"GivenDetectionAtD.3_pred[7]",13,25,39,25.8796333333333,6.88554055321977,24,0.0278148481974088,0.4,61281,0.00451467624316237,1.00005773142614,"GivenDetectionAtD.3_pred[7]",25.88,13,39
"Auxiliary_D.8_pred[1]",51,72,90,72.1648333333333,9.92766702781168,71,0.0405295309239864,0.4,60000,-0.00794726882207753,1.00000792937019,"Auxiliary_D.8_pred[1]",72.165,51,90
"Auxiliary_D.8_pred[2]",29,45,60,45.494,8.04414543656421,45,0.0328400862272009,0.4,60000,0.00286566136055789,0.999996959153288,"Auxiliary_D.8_pred[2]",45.494,29,60
"Auxiliary_D.8_pred[3]",19,31,44,31.5136833333333,6.62040355734527,30,0.027381411909411,0.4,58460,-0.00553819744458856,1.00012592107098,"Auxiliary_D.8_pred[3]",31.514,19,44
"GivenDetectionAtD.8_pred[1]",21,34,48,34.6804666666667,7.09804467109486,34,0.0291619051096192,0.4,59244,-0.00405079140216323,1.00001328497663,"GivenDetectionAtD.8_pred[1]",34.68,21,48
"GivenDetectionAtD.8_pred[2]",87,110,131,110.465316666667,11.249015041566,111,0.0459239116012162,0.4,60000,-0.00566422318299689,0.999991433744035,"GivenDetectionAtD.8_pred[2]",110.465,87,131
"GivenDetectionAtD.8_pred[3]",0,0,1,0.110433333333333,0.335866579157368,0,0.00135967281284319,0.4,61019,-0.00470747085750948,1.00001341540573,"GivenDetectionAtD.8_pred[3]",0.11,0,1
"GivenDetectionAtD.8_pred[4]",0,3,9,3.9163,2.76425185685726,3,0.0112850109497348,0.4,60000,0.000877232052587168,1.00005417114957,"GivenDetectionAtD.8_pred[4]",3.916,0,9
"Auxiliary_D.14_pred[1]",0,3,8,3.1997,2.48505321904616,2,0.010801366703365,0.4,52931,-0.00125941946345061,1.00003220431979,"Auxiliary_D.14_pred[1]",3.2,0,8
"Auxiliary_D.14_pred[2]",4,11,21,11.6789,4.70827968458684,11,0.0197170461145962,0.4,57022,-0.00066358761209316,1.00001598125822,"Auxiliary_D.14_pred[2]",11.679,4,21
"Auxiliary_D.14_pred[3]",1,8,15,8.07558333333333,3.89672814481065,6,0.0162284807373407,0.4,57656,-0.00299195217715059,1.00002909816402,"Auxiliary_D.14_pred[3]",8.076,1,15
"GivenDetectionAtD.14_pred[1]",6,16,27,16.4562333333333,5.52895354484106,14,0.0225461948698328,0.4,60137,-0.00221447496314469,0.999977962698456,"GivenDetectionAtD.14_pred[1]",16.456,6,27
"GivenDetectionAtD.14_pred[2]",0,6,13,6.49795,3.52742632946107,5,0.0144006576873974,0.4,60000,0.00031437094978856,1.00010830076116,"GivenDetectionAtD.14_pred[2]",6.498,0,13
"Auxiliary_D.15_pred[1]",1,9,17,9.69436666666667,4.23218463546532,8,0.017355623974031,0.4,59463,0.00077108808610711,1.00001839041382,"Auxiliary_D.15_pred[1]",9.694,1,17
"Auxiliary_D.15_pred[2]",0,3,7,3.0979,2.3092216145434,2,0.00966249199043307,0.4,57115,0.00163344057752054,1.00003461755263,"Auxiliary_D.15_pred[2]",3.098,0,7
"Auxiliary_D.15_pred[3]",0,2,6,2.5204,2.0240352727443,1,0.00856542331625539,0.4,55839,-0.00249419941430724,1.00002659977912,"Auxiliary_D.15_pred[3]",2.52,0,6
"GivenDetectionAtD.15_pred[1]",2,10,18,9.9643,4.2740804047251,8,0.0174779566059227,0.4,59800,0.010620358509198,1.00004852509124,"GivenDetectionAtD.15_pred[1]",9.964,2,18
"GivenDetectionAtD.15_pred[2]",0,5,11,5.34836666666667,3.15659733478965,4,0.0129923497312282,0.4,59029,-0.00448824587807594,0.999996862287117,"GivenDetectionAtD.15_pred[2]",5.348,0,11
"Auxiliary_D.21_pred[1]",0,6,13,6.74116666666667,3.59823860996467,5,0.0147519412535956,0.4,59495,-0.000318922413446926,0.999999500101938,"Auxiliary_D.21_pred[1]",6.741,0,13
"Auxiliary_D.21_pred[2]",0,1,6,1.89578333333333,1.90691272960376,0,0.00793341675012776,0.4,57775,0.00357949715511914,1.00000834547072,"Auxiliary_D.21_pred[2]",1.896,0,6
"Auxiliary_D.21_pred[3]",33,50,68,50.302,9.19072560559208,51,0.0374664954406552,0.4,60175,-0.00511342184878914,0.999983850133684,"Auxiliary_D.21_pred[3]",50.302,33,68
"GivenDetectionAtD.21_pred[1]",0,4,11,4.82666666666667,3.0376212197376,4,0.0124705994079545,0.4,59332,-0.00369038771193603,1.00001798732192,"GivenDetectionAtD.21_pred[1]",4.827,0,11
"GivenDetectionAtD.21_pred[2]",36,54,72,54.1122833333333,9.46214394253167,54,0.0388109103521761,0.4,59439,-0.000881109648106698,1.00000864101143,"GivenDetectionAtD.21_pred[2]",54.112,36,72
"Auxiliary_D.22_pred[1]",0,6,13,6.76571666666667,3.60247752023432,5,0.0143235424692509,0.4,63256,0.00463078042725486,1.00000087505273,"Auxiliary_D.22_pred[1]",6.766,0,13
"Auxiliary_D.22_pred[2]",1,7,15,7.73693333333333,3.85498512025579,7,0.0158046237576173,0.4,59495,0.000350597224073389,1.000125200477,"Auxiliary_D.22_pred[2]",7.737,1,15
"Auxiliary_D.22_pred[3]",149,173,198,173.206366666667,12.7796792396724,175,0.0518664501600639,0.4,60711,0.000219945920749547,1.00003342868298,"Auxiliary_D.22_pred[3]",173.206,149,198
"GivenDetectionAtD.22_pred[1]",80,104,126,104.4429,11.8306088450719,105,0.048298258361473,0.4,60000,0.00014333316620807,1.00001795847621,"GivenDetectionAtD.22_pred[1]",104.443,80,126
"GivenDetectionAtD.22_pred[2]",60,83,103,83.2661166666667,11.0841980424308,83,0.0447313051303867,0.4,61402,0.000556634324162901,1.00007926224706,"GivenDetectionAtD.22_pred[2]",83.266,60,103
"Auxiliary_H.30_pred[1]",14,27,41,27.4547833333333,7.05438054387507,26,0.0290288893563528,0.4,59055,0.00408357805494034,1.00001727606797,"Auxiliary_H.30_pred[1]",27.455,14,41
"Auxiliary_H.30_pred[2]",0,5,12,5.87441666666667,3.3672839405681,4,0.0138062302551476,0.4,59485,-0.00263824427156086,0.999998818508838,"Auxiliary_H.30_pred[2]",5.874,0,12
"Auxiliary_H.30_pred[3]",90,115,137,114.65015,12.0310930826829,115,0.0493750588234528,0.4,59374,0.000173962200387088,1.00002530632659,"Auxiliary_H.30_pred[3]",114.65,90,137
