Index,BND,KWK,MSD,WLK
2020-12-01,10.875,11.974537037037,10.0717592592593,10.0775462962963
2020-12-02,10.8842592592593,11.8912037037037,10.2175925925926,10.0983796296296
2020-12-03,10.7731481481481,11.875,10.1898148148148,10.1655092592593
2020-12-04,10.7476851851852,11.9050925925926,10.3865740740741,10.2719907407407
2020-12-05,10.5694444444444,11.7847222222222,10.4074074074074,10.1689814814815
2020-12-06,10.7175925925926,11.6921296296296,10.1990740740741,10.0873842592593
2020-12-07,10.8240740740741,11.650462962963,10.1388888888889,10.1140046296296
2020-12-08,10.587962962963,11.6087962962963,10.4675925925926,10.1747685185185
2020-12-09,10.5162037037037,11.5810185185185,10.5509259259259,10.0746527777778
2020-12-10,10.6273148148148,11.6226851851852,10.3356481481481,10.1284722222222
2020-12-11,10.2986111111111,12.0324074074074,10.3240740740741,10.021412037037
2020-12-12,10.9814814814815,12.3541666666667,10.2800925925926,10.0972222222222
2020-12-13,11.1828703703704,12.3634259259259,10.2939814814815,10.0925925925926
2020-12-14,10.7986111111111,12.2893518518519,10.4189814814815,10.3310185185185
2020-12-15,10.6921296296296,12.1388888888889,10.4513888888889,10.2702546296296
2020-12-16,10.5856481481481,12.0509259259259,10.6342592592593,9.96122685185185
2020-12-17,10.9722222222222,12.1203703703704,10.8425925925926,10.087962962963
2020-12-18,10.4328703703704,11.9907407407407,10.7037037037037,10.0271990740741
2020-12-19,9.00925925925926,11.837962962963,10.0601851851852,9.78125
2020-12-20,8.0162037037037,11.7569444444444,9.60416666666667,9.59722222222222
2020-12-21,7.94444444444444,11.7407407407407,9.40509259259259,9.53125
2020-12-22,9.08101851851852,11.7083333333333,8.91203703703704,9.56655092592593
2020-12-23,8.85648148148148,11.5162037037037,8.72453703703704,9.22974537037037
2020-12-24,6.37962962962963,11.3055555555556,9.08333333333333,8.80439814814815
2020-12-25,8.46527777777778,11.1898148148148,8.99537037037037,8.75462962962963
2020-12-26,10.2592592592593,11.275462962963,9.31018518518519,8.96122685185185
2020-12-27,9.85185185185185,11.3009259259259,10.1134259259259,9.23321759259259
2020-12-28,9.56712962962963,11.1782407407407,10.6666666666667,9.41550925925926
2020-12-29,9.37037037037037,11.0208333333333,10.4467592592593,9.38368055555556
2020-12-30,9.24074074074074,10.9282407407407,9.89814814814815,9.17592592592593
2020-12-31,9.18981481481481,10.9236111111111,9.90046296296296,9.06944444444445
2021-01-01,9.08564814814815,10.8611111111111,9.66435185185185,9.05787037037037
2021-01-02,10.1597222222222,10.8611111111111,9.90277777777778,9.19907407407407
2021-01-03,10.5509259259259,10.8310185185185,10.4421296296296,9.59143518518519
2021-01-04,10.599537037037,10.7638888888889,10.6875,10.0908564814815
2021-01-05,11.662037037037,10.6875,10.2800925925926,10.3559027777778
2021-01-06,9.52777777777778,10.4652777777778,9.78472222222222,10.4282407407407
2021-01-07,9.21990740740741,10.4583333333333,10.025462962963,10.1440972222222
2021-01-08,9.86805555555556,10.6111111111111,10.4444444444444,9.73090277777778
2021-01-09,9.55324074074074,10.5509259259259,10.4490740740741,9.27777777777778
2021-01-10,9.65740740740741,10.4236111111111,10.1828703703704,9.26909722222222
2021-01-11,9.71064814814815,10.4953703703704,10.0833333333333,9.52546296296296
2021-01-12,10.1273148148148,10.5694444444444,10.2222222222222,9.72569444444444
2021-01-13,10.7453703703704,10.6597222222222,10.6597222222222,10.1469907407407
2021-01-14,10.7638888888889,10.6967592592593,11.662037037037,10.4884259259259
2021-01-15,10.5601851851852,10.6527777777778,11.9652777777778,10.7905092592593
2021-01-16,10.4513888888889,10.662037037037,12.0833333333333,11.1701388888889
2021-01-17,11.1458333333333,10.662037037037,12.5300925925926,11.505787037037
2021-01-18,10.5300925925926,10.6180555555556,12.7053140096618,11.7337962962963
2021-01-19,8.96990740740741,10.4837962962963,11.5277777777778,11.1400462962963
2021-01-20,8.33564814814815,10.4050925925926,10.7826086956522,10.5503472222222
2021-01-21,8.41898148148148,10.3425925925926,10.8171296296296,10.3003472222222
2021-01-22,8.80787037037037,10.3101851851852,10.7986111111111,10.2783564814815
2021-01-23,8.875,10.3217592592593,10.6689814814815,10.2957175925926
2021-01-24,7.63194444444444,10.1990740740741,10.6898148148148,9.77835648148148
2021-01-25,8.26388888888889,10.0856481481481,10.1782407407407,9.48611111111111
2021-01-26,7.04398148148148,9.88333333333333,9.45833333333333,8.93576388888889
2021-01-27,7.31481481481481,9.35507246376812,8.66666666666667,8.09722222222222
2021-01-28,7.94907407407407,9.30092592592593,8.62037037037037,8.19907407407407
2021-01-29,7.84490740740741,9.0949074074074,9.19806763285024,8.64293981481481
2021-01-30,8.81018518518519,9.2962962962963,9.96296296296296,8.38483796296296
2021-01-31,9.43287037037037,9.47453703703704,10.7013888888889,8.96412037037037
2021-02-01,9.68518518518519,9.43981481481481,11.4652777777778,9.48148148148148
2021-02-02,10.287037037037,9.54166666666666,11.8657407407407,10.3530092592593
2021-02-03,9.07407407407407,9.51388888888889,11.6574074074074,10.8043981481481
2021-02-04,8.69907407407407,9.52083333333333,11.6273148148148,10.5989583333333
2021-02-05,9.18055555555556,9.41898148148148,11.5902777777778,9.9380787037037
2021-02-06,9.74537037037037,9.43518518518519,11.7824074074074,9.9068287037037
2021-02-07,9.76157407407407,9.50694444444444,11.8981481481481,10.2199074074074
2021-02-08,9.66435185185185,9.55092592592592,12.0902777777778,10.5179398148148
2021-02-09,10.1203703703704,9.61574074074074,12.474537037037,10.9959490740741
2021-02-10,10.3981481481481,9.67592592592592,13.0069444444444,11.7164351851852
2021-02-11,10.3472222222222,9.69907407407407,13.4375,11.9149305555556
2021-02-12,10.0833333333333,9.66435185185185,13.2175925925926,11.884837962963
2021-02-13,10.6458333333333,9.72916666666667,13.712962962963,12.1967592592593
2021-02-14,10.1782407407407,9.6712962962963,13.3217592592593,11.9826388888889
2021-02-15,9.85879629629629,9.64583333333333,13.212962962963,11.3825231481481
2021-02-16,9.71296296296296,9.5,12.8796296296296,11.296875
2021-02-17,9.69212962962963,9.48148148148148,12.6134259259259,11.1001157407407
2021-02-18,9.34490740740741,9.38888888888889,12.125,10.7436342592593
2021-02-19,9.18287037037037,9.24074074074074,12.5856481481481,10.7986111111111
2021-02-20,9.74305555555556,9.22916666666666,12.6851851851852,10.7853009259259
2021-02-21,10.0925925925926,9.38425925925926,12.5347222222222,10.7418981481481
2021-02-22,10.5046296296296,9.44675925925926,12.8449074074074,11.177662037037
2021-02-23,11.1041666666667,9.55555555555556,13.4606481481481,11.7430555555556
2021-02-24,10.4212962962963,9.61111111111111,13.5393518518518,11.9768518518519
2021-02-25,9.87962962962963,9.63425925925926,12.3518518518519,11.5109953703704
2021-02-26,10.2407407407407,9.68055555555555,12.5787037037037,11.4982638888889
2021-02-27,10.150462962963,9.62962962962963,12.8009259259259,11.6996527777778
2021-02-28,10.3912037037037,9.69675925925926,12.5416666666667,11.4797453703704
2021-03-01,10.7384259259259,9.64814814814815,13.1967592592593,11.6782407407407
2021-03-02,10.724537037037,9.76851851851852,13.6296296296296,12.1313657407407
2021-03-03,10.7615740740741,9.77083333333333,13.6203703703704,12.4930555555556
2021-03-04,11.2013888888889,9.7337962962963,13.6736111111111,12.6388888888889
2021-03-05,11.3148148148148,9.76157407407407,14.5138888888889,12.8883101851852
2021-03-06,11.4976851851852,9.74305555555556,14.9830917874396,13.1556712962963
2021-03-07,11.4027777777778,9.76157407407407,14.8449074074074,13.4056712962963
2021-03-08,11.0810185185185,9.61111111111111,14.625,13.3333333333333
2021-03-09,10.1898148148148,9.51620370370371,14.5509259259259,12.6203703703704
2021-03-10,10.1296296296296,9.33333333333333,14.0486111111111,12.1533564814815
2021-03-11,10.1435185185185,9.24537037037037,13.2615740740741,11.7951388888889
2021-03-12,10.8888888888889,9.3587962962963,13.5092592592593,11.8802083333333
2021-03-13,11.1828703703704,9.47222222222222,14.1828703703704,12.1649305555556
2021-03-14,10.9323671497585,9.6183574879227,14.1231884057971,12.3526570048309
2021-03-15,9.77777777777778,9.65277777777778,13.4791666666667,12.1886574074074
2021-03-16,10.1921296296296,9.53703703703704,12.7893518518519,12.2679398148148
2021-03-17,11.1574074074074,9.53472222222222,13.8055555555556,12.2858796296296
2021-03-18,11.0671296296296,9.61111111111111,14.2847222222222,11.9085648148148
2021-03-19,10.7384259259259,9.66898148148148,14.6990740740741,12.052662037037
2021-03-20,11.5601851851852,9.73842592592593,14.6041666666667,12.6452546296296
2021-03-21,11.7337962962963,9.71296296296296,14.9351851851852,12.9809027777778
