"","GPSname","GEN","VemcoSN","StartTime","EndTime","GenLat","GenLon"
"75","Chipps1.5","ChippsE","546164",2018-05-03 13:25:00,2018-07-23 17:46:00,38.045992,-121.909692
"76","Chipps1.5","ChippsE","546166",2017-02-06 13:55:00,2017-03-07 10:47:00,38.045992,-121.909692
"77","Chipps1.5","ChippsE","545914",2016-02-23 11:10:00,2016-04-14 11:58:00,38.045992,-121.909692
"78","Chipps1.5","ChippsE","546163",2017-10-27 10:12:00,2018-01-13 11:55:00,38.045992,-121.909692
"79","Chipps1.5","ChippsE","546168",2019-03-07 13:30:00,2019-07-01 08:35:00,38.045992,-121.909692
"80","Chipps1.5","ChippsE","546161",2018-01-30 16:07:00,2018-05-03 13:01:00,38.045992,-121.909692
"81","Chipps2.1","ChippsW","546164",2016-04-15 09:29:00,2016-07-21 14:05:00,38.04627,-121.915593
"82","Chipps2.1","ChippsW","546977",2017-10-27 11:20:00,2018-01-30 16:59:00,38.04627,-121.915593
"83","Chipps2.1","ChippsW","545907",2016-02-23 12:50:00,2016-04-15 09:29:00,38.04627,-121.915593
"84","Chipps2.1","ChippsW","546698",2018-12-03 22:38:00,2019-03-07 16:13:00,38.04627,-121.915593
"85","Chipps2.1","ChippsW","546163",2017-05-17 09:40:00,2017-07-03 10:15:00,38.04627,-121.915593
"86","Chipps2.1","ChippsW","546163",2017-02-28 14:28:00,2017-05-17 09:01:00,38.04627,-121.915593
"87","Chipps2.1","ChippsW","546977",2018-01-30 17:19:00,2018-05-03 13:10:00,38.04627,-121.915593
"88","Chipps2.1","ChippsW","546699",2018-05-03 13:42:00,2018-07-23 15:49:00,38.04627,-121.915593
"89","Chipps2.1","ChippsW","546166",2017-02-06 14:00:00,2017-02-28 14:11:00,38.04627,-121.915593
"90","Chipps2.1","ChippsW","546698",2019-03-07 16:40:00,2019-07-01 09:13:00,38.04627,-121.915593
"91","Chipps2.2","ChippsW","545629",2016-02-23 13:01:00,2016-04-15 09:43:00,38.04627,-121.915593
"92","Chipps2.2","ChippsW","546978",2018-05-03 09:18:00,2018-07-23 15:54:00,38.04627,-121.915593
"93","Chipps2.2","ChippsW","546699",2018-12-03 22:42:00,2019-03-07 15:40:00,38.04627,-121.915593
"94","Chipps2.2","ChippsW","546978",2017-10-27 11:05:00,2018-01-30 16:48:00,38.04627,-121.915593
"95","Chipps2.2","ChippsW","546165",2016-04-15 10:03:00,2016-07-21 14:10:00,38.04627,-121.915593
"96","Chipps2.2","ChippsW","546699",2019-03-07 16:00:00,2019-07-01 09:22:00,38.04627,-121.915593
"97","Chipps2.2","ChippsW","546978",2018-01-30 17:30:00,2018-05-03 10:05:00,38.04627,-121.915593
"98","Chipps2.3","ChippsW","546165",2018-01-30 17:36:00,2018-05-03 10:25:00,38.04627,-121.915593
"99","Chipps2.3","ChippsW","546162",2017-02-28 14:02:00,2017-05-17 15:50:00,38.04627,-121.915593
"100","Chipps2.3","ChippsW","545911",2016-02-23 13:10:00,2016-04-14 10:19:00,38.04627,-121.915593
"101","Chipps2.3","ChippsW","546165",2017-10-27 10:52:00,2018-01-30 16:41:00,38.04627,-121.915593
"102","Chipps2.3","ChippsW","546978",2018-12-03 22:47:00,2019-03-07 15:00:00,38.04627,-121.915593
"103","Chipps2.3","ChippsW","546161",2016-04-15 10:34:00,2016-07-21 14:20:00,38.04627,-121.915593
"104","Chipps2.3","ChippsW","546165",2018-05-03 09:24:00,2018-07-23 16:04:00,38.04627,-121.915593
"105","Chipps2.3","ChippsW","546162",2017-02-06 14:32:00,2017-02-28 13:39:00,38.04627,-121.915593
"106","Chipps2.3","ChippsW","546978",2019-03-07 15:30:00,2019-07-01 08:45:00,38.04627,-121.915593
"107","Chipps2.3","ChippsW","546162",2017-05-17 09:54:00,2017-07-03 09:45:00,38.04627,-121.915593
"108","Chipps2.4","ChippsW","545909",2016-02-23 13:22:00,2016-04-14 12:18:00,38.04627,-121.915593
"109","Chipps2.4","ChippsW","546162",2018-12-03 22:50:00,2019-03-07 14:20:00,38.04627,-121.915593
"110","Chipps2.4","ChippsW","546168",2018-01-30 19:41:00,2018-05-03 11:08:00,38.04627,-121.915593
"111","Chipps2.4","ChippsW","546164",2017-05-17 17:01:00,2017-07-03 09:25:00,38.04627,-121.915593
"112","Chipps2.4","ChippsW","546168",2018-05-03 09:27:00,2018-07-23 16:09:00,38.04627,-121.915593
"113","Chipps2.4","ChippsW","546167",2016-04-15 08:04:00,2016-07-21 13:20:00,38.04627,-121.915593
"114","Chipps2.4","ChippsW","546168",2017-10-27 10:36:00,2018-01-30 16:33:00,38.04627,-121.915593
"115","Chipps2.4","ChippsW","546164",2017-02-28 13:27:00,2017-05-17 16:40:00,38.04627,-121.915593
"116","Chipps2.4","ChippsW","546164",2017-02-06 14:50:00,2017-02-28 13:04:00,38.04627,-121.915593
"117","Chipps2.4","ChippsW","546162",2019-03-07 14:40:00,2019-07-01 08:53:00,38.04627,-121.915593
"118","Chipps2.5","ChippsW","546168",2017-02-28 12:55:00,2017-05-17 17:35:00,38.04627,-121.915593
"119","Chipps2.5","ChippsW","546168",2017-05-17 17:55:00,2017-07-03 09:14:00,38.04627,-121.915593
"120","Chipps2.5","ChippsW","546168",2017-02-06 14:59:00,2017-02-28 12:23:00,38.04627,-121.915593
"121","Chipps2.5","ChippsW","546164",2019-03-07 14:01:00,2019-07-01 09:00:00,38.04627,-121.915593
"122","Chipps2.5","ChippsW","546976",2018-05-03 11:20:00,2018-07-23 17:12:00,38.04627,-121.915593
"123","Chipps2.5","ChippsW","546976",2017-10-27 11:53:00,2018-01-30 16:14:00,38.04627,-121.915593
"124","Chipps2.5","ChippsW","546976",2018-01-30 19:46:00,2018-05-03 11:07:00,38.04627,-121.915593
"125","Chipps2.5","ChippsW","546164",2018-12-03 22:54:00,2019-03-07 13:36:00,38.04627,-121.915593
"126","DeckrIs1","DeckerIsland","112536",2018-01-17 12:05:00,2018-04-18 11:45:00,38.07916,-121.75954
