reach_end,reach_start,estimate,se,lcl,ucl,rkm_start,rkm_end,Region,Reach,RKM,GenLat_start,GenLon_start,GenLat_end,GenLon_end,release,mean_rel_date,count_at_start,count_at_end,group,reach_num,release_site
Colusa AC2,Colusa AC3,0.985,0.005,0.973,0.992,331.15,318.61,Lower Sac R,Colusa AC3 to Colusa AC2,331.15 to 318.61,39.359877499999996,-122.01365999999999,39.28007,-122.01891,2020-05-21_RBDD_Rel,2020-05-21,56,48,2,11,RBDD_Rel
AbvColusaBr,Colusa AC2,0.981,0.007,0.963,0.99,318.61,307.73,Lower Sac R,Colusa AC2 to AbvColusaBr,318.61 to 307.73,39.28007,-122.01891,39.2205,-122.00847,2020-05-21_RBDD_Rel,2020-05-21,48,37,2,12,RBDD_Rel
Colusa BC4,AbvColusaBr,0.991,0.003,0.982,0.995,307.73,280.4,Lower Sac R,AbvColusaBr to Colusa BC4,307.73 to 280.4,39.2205,-122.00847,39.09362,-121.89405,2020-05-21_RBDD_Rel,2020-05-21,37,31,2,13,RBDD_Rel
Knights_RST,Colusa BC4,0.993,0.002,0.986,0.996,280.4,222.05,Lower Sac R,Colusa BC4 to Knights_RST,280.4 to 222.05,39.09362,-121.89405,38.79248,-121.69087,2020-05-21_RBDD_Rel,2020-05-21,31,17,2,14,RBDD_Rel
KnightsBlwRST,Knights_RST,1,0,1,1,222.05,221.58,Lower Sac R,Knights_RST to KnightsBlwRST,222.05 to 221.58,38.79248,-121.69087,38.78877,-121.694,2020-05-21_RBDD_Rel,2020-05-21,17,20,2,15,RBDD_Rel
Blw_FRConf,KnightsBlwRST,0.997,0.003,0.979,1,221.58,203.46,Lower Sac R,KnightsBlwRST to Blw_FRConf,221.58 to 203.46,38.78877,-121.694,38.78212,-121.61526,2020-05-21_RBDD_Rel,2020-05-21,20,18,2,16,RBDD_Rel
Blw_FR_GS2,Blw_FRConf,0.962,0.022,0.888,0.988,203.46,199,Lower Sac R,Blw_FRConf to Blw_FR_GS2,203.46 to 199,38.78212,-121.61526,38.735055,-121.603635,2020-05-21_RBDD_Rel,2020-05-21,18,16,2,17,RBDD_Rel
Blw_Elkhorn_GS1,Blw_FR_GS2,1,0,1,1,199,191.92,Lower Sac R,Blw_FR_GS2 to Blw_Elkhorn_GS1,199 to 191.92,38.735055,-121.603635,38.647935000000004,-121.578205,2020-05-21_RBDD_Rel,2020-05-21,16,16,2,18,RBDD_Rel
TowerBridge,Blw_Elkhorn_GS1,0.981,0.008,0.956,0.992,191.92,172,Lower Sac R,Blw_Elkhorn_GS1 to TowerBridge,191.92 to 172,38.647935000000004,-121.578205,38.5802,-121.508,2020-05-21_RBDD_Rel,2020-05-21,16,11,2,19,RBDD_Rel
I80-50_Br,TowerBridge,1,0,1,1,172,170.74,Lower Sac R,TowerBridge to I80-50_Br,172 to 170.74,38.5802,-121.508,38.571133,-121.5164,2020-05-21_RBDD_Rel,2020-05-21,11,11,2,20,RBDD_Rel
