reach_end,reach_start,estimate,se,lcl,ucl,rkm_start,rkm_end,Region,Reach,RKM,GenLat_start,GenLon_start,GenLat_end,GenLon_end,release,mean_rel_date,count_at_start,count_at_end,group,reach_num,release_site
Blw_IrvineFinch,GCID,0.997,0.001,0.993,0.998,405.265,394.66,Upper Sac R,GCID to Blw_IrvineFinch,405.265 to 394.66,39.798953499999996,-122.04724300000001,39.73146,-121.97483,2018-01-05_BattleCk_CNFH_Rel,2018-01-05,255,240,2,7,BattleCk_CNFH_Rel
BlwOrd,Blw_IrvineFinch,0.997,0.001,0.995,0.998,394.66,361.72,Upper Sac R,Blw_IrvineFinch to BlwOrd,394.66 to 361.72,39.73146,-121.97483,39.56548,-122.0018,2018-01-05_BattleCk_CNFH_Rel,2018-01-05,240,222,2,8,BattleCk_CNFH_Rel
ButteBr,BlwOrd,0.996,0.001,0.994,0.998,361.72,344.1,Lower Sac R,BlwOrd to ButteBr,361.72 to 344.1,39.56548,-122.0018,39.4569,-121.995,2018-01-05_BattleCk_CNFH_Rel,2018-01-05,222,166,2,9,BattleCk_CNFH_Rel
Colusa AC3,ButteBr,0.999,0.001,0.995,1,344.1,331.15,Lower Sac R,ButteBr to Colusa AC3,344.1 to 331.15,39.4569,-121.995,39.359877499999996,-122.01365999999999,2018-01-05_BattleCk_CNFH_Rel,2018-01-05,166,184,2,10,BattleCk_CNFH_Rel
Colusa AC2,Colusa AC3,0.996,0.001,0.992,0.998,331.15,318.61,Lower Sac R,Colusa AC3 to Colusa AC2,331.15 to 318.61,39.359877499999996,-122.01365999999999,39.28007,-122.01891,2018-01-05_BattleCk_CNFH_Rel,2018-01-05,184,194,2,11,BattleCk_CNFH_Rel
Colusa BC2,Colusa AC2,0.998,0.001,0.996,0.999,318.61,296.27,Lower Sac R,Colusa AC2 to Colusa BC2,318.61 to 296.27,39.28007,-122.01891,39.184963,-121.943214,2018-01-05_BattleCk_CNFH_Rel,2018-01-05,194,180,2,12,BattleCk_CNFH_Rel
Colusa BC4,Colusa BC2,0.998,0.001,0.996,0.999,296.27,280.4,Lower Sac R,Colusa BC2 to Colusa BC4,296.27 to 280.4,39.184963,-121.943214,39.09362,-121.89405,2018-01-05_BattleCk_CNFH_Rel,2018-01-05,180,178,2,13,BattleCk_CNFH_Rel
AbvTisdale,Colusa BC4,0.999,0.001,0.996,1,280.4,269.23,Lower Sac R,Colusa BC4 to AbvTisdale,280.4 to 269.23,39.09362,-121.89405,39.0364,-121.82918,2018-01-05_BattleCk_CNFH_Rel,2018-01-05,178,165,2,14,BattleCk_CNFH_Rel
BlwTisdale,AbvTisdale,1,0.001,0.273,1,269.23,261.4,Lower Sac R,AbvTisdale to BlwTisdale,269.23 to 261.4,39.0364,-121.82918,38.98941,-121.80463,2018-01-05_BattleCk_CNFH_Rel,2018-01-05,165,159,2,15,BattleCk_CNFH_Rel
Knights_RST,BlwTisdale,0.998,0.001,0.997,0.999,261.4,222.05,Lower Sac R,BlwTisdale to Knights_RST,261.4 to 222.05,38.98941,-121.80463,38.79248,-121.69087,2018-01-05_BattleCk_CNFH_Rel,2018-01-05,159,163,2,16,BattleCk_CNFH_Rel
Abv_FremontWeir,Knights_RST,1,0.001,1,1,222.05,215.18,Lower Sac R,Knights_RST to Abv_FremontWeir,222.05 to 215.18,38.79248,-121.69087,38.76009,-121.67145,2018-01-05_BattleCk_CNFH_Rel,2018-01-05,163,149,2,17,BattleCk_CNFH_Rel
Blw_Elkhorn_GS1,Abv_FremontWeir,0.998,0.001,0.995,0.999,215.18,191.92,Lower Sac R,Abv_FremontWeir to Blw_Elkhorn_GS1,215.18 to 191.92,38.76009,-121.67145,38.647935000000004,-121.578205,2018-01-05_BattleCk_CNFH_Rel,2018-01-05,149,143,2,18,BattleCk_CNFH_Rel
SacTrawl,Blw_Elkhorn_GS1,0.999,0.001,0.997,1,191.92,166.815,Lower Sac R,Blw_Elkhorn_GS1 to SacTrawl,191.92 to 166.815,38.647935000000004,-121.578205,38.539519999999996,-121.51444000000001,2018-01-05_BattleCk_CNFH_Rel,2018-01-05,143,153,2,19,BattleCk_CNFH_Rel
Freeport,SacTrawl,1,0,0.995,1,166.815,152.43,Lower Sac R,SacTrawl to Freeport,166.815 to 152.43,38.539519999999996,-121.51444000000001,38.46467,-121.50501,2018-01-05_BattleCk_CNFH_Rel,2018-01-05,153,153,2,20,BattleCk_CNFH_Rel
Hood,Freeport,1,0,1,1,152.43,138.22,Lower Sac R,Freeport to Hood,152.43 to 138.22,38.46467,-121.50501,38.3617,-121.52033,2018-01-05_BattleCk_CNFH_Rel,2018-01-05,153,134,2,21,BattleCk_CNFH_Rel
Chipps,Hood,0.986,0.002,0.982,0.988,138.22,71.48,West Delta,Hood to Chipps,138.22 to 71.48,38.3617,-121.52033,38.046132,-121.912643,2018-01-05_BattleCk_CNFH_Rel,2018-01-05,134,57,2,22,BattleCk_CNFH_Rel
Benicia,Chipps,0.995,0.003,0.984,0.998,71.48,52.04,Carquinez Strait,Chipps to Benicia,71.48 to 52.04,38.046132,-121.912643,38.041233,-122.12382,2018-01-05_BattleCk_CNFH_Rel,2018-01-05,57,48,2,23,BattleCk_CNFH_Rel
GoldenGateE,Benicia,1,0,1,1,52.04,1.71,SF Bay,Benicia to GoldenGateE,52.04 to 1.71,38.041233,-122.12382,37.82794,-122.46168,2018-01-05_BattleCk_CNFH_Rel,2018-01-05,48,19,2,24,BattleCk_CNFH_Rel
