estimate,se,lcl,ucl,StudyID,reach_start,reach_end,rkm_start,rkm_end,Region,Reach,RKM,reach_num,count_at_start,count_at_end,GenLat_start,GenLon_start,GenLat_end,GenLon_end
0.9724856,0.0075383,0.953156,0.9839732,SB_Spring_2018,AbvTisdale,Bullock Bend,269.23,247.11,Lower Sac R,"AbvTisdale to 
Bullock Bend",269.23 to 247.11,20,234,2,39.0364,-121.82918,38.913345,-121.811134
1,3.774468e-8,0.9999999,1.0000001,SB_Spring_2018,Bullock Bend,Knights_RST,247.11,222.05,Lower Sac R,"Bullock Bend to 
Knights_RST",247.11 to 222.05,21,2,231,38.913345,-121.811134,38.79248,-121.69087
1,0,1,1,SB_Spring_2018,Knights_RST,Abv_FremontWeir,222.05,215.18,Lower Sac R,"Knights_RST to 
Abv_FremontWeir",222.05 to 215.18,22,231,201,38.79248,-121.69087,38.76009,-121.67145
0.8428054,0.036067,0.758719,0.9013961,SB_Spring_2018,Abv_FremontWeir,Blw_FremontWeir,215.18,210.36,Lower Sac R,"Abv_FremontWeir to 
Blw_FremontWeir",215.18 to 210.36,23,201,161,38.76009,-121.67145,38.77015,-121.6322
1,0,1,1,SB_Spring_2018,Blw_FremontWeir,Butte6,210.36,206.48,Lower Sac R,"Blw_FremontWeir to 
Butte6",210.36 to 206.48,24,161,17,38.77015,-121.6322,38.78346,-121.63226
1,0,1,1,SB_Spring_2018,Butte6,Blw_FRConf,206.48,203.46,Sutter Bypass,"Butte6 to 
Blw_FRConf",206.48 to 203.46,25,17,5,38.78346,-121.63226,38.78212,-121.61526
0.9916255,0.006443,0.962798,0.9981576,SB_Spring_2018,Blw_FRConf,TowerBridge,203.46,172,Lower Sac R,"Blw_FRConf to 
TowerBridge",203.46 to 172,26,5,106,38.78212,-121.61526,38.5802,-121.508
0.8742014,0.138166,0.3719558,0.9878846,SB_Spring_2018,TowerBridge,I80-50_Br,172,170.74,Lower Sac R,"TowerBridge to 
I80-50_Br",172 to 170.74,27,106,66,38.5802,-121.508,38.571133,-121.5164
1,0,1,1,SB_Spring_2018,I80-50_Br,SacTrawl1,170.74,167,Lower Sac R,"I80-50_Br to 
SacTrawl1",170.74 to 167,28,66,73,38.571133,-121.5164,38.54081,-121.51331
1,0,1,1,SB_Spring_2018,SacTrawl1,SacTrawl2,167,166.63,Lower Sac R,"SacTrawl1 to 
SacTrawl2",167 to 166.63,29,73,85,38.54081,-121.51331,38.53823,-121.51557
1,4.482869e-8,0.9999999,1.0000001,SB_Spring_2018,SacTrawl2,Freeport,166.63,152.43,Lower Sac R,"SacTrawl2 to 
Freeport",166.63 to 152.43,30,85,39,38.53823,-121.51557,38.46467,-121.50501
1,0,1,1,SB_Spring_2018,Freeport,Hood,152.43,138.22,Lower Sac R,"Freeport to 
Hood",152.43 to 138.22,31,39,66,38.46467,-121.50501,38.3617,-121.52033
0.9850113,0.0035699,0.9761407,0.9906156,SB_Spring_2018,Hood,Chipps,138.22,71.47999999999999,Lower Sac R,"Hood to 
Chipps",138.22 to 71.48,32,66,202,38.3617,-121.52033,38.046132,-121.912643
0.9631908,0.0107755,0.9351608,0.9793708,SB_Spring_2018,Chipps,Benicia,71.47999999999999,52.04,West Delta,"Chipps to 
Benicia",71.48 to 52.04,33,202,203,38.046132,-121.912643,38.041233,-122.12382
0.9381557,0.0250697,0.8667355,0.9725136,SB_Spring_2018,Benicia,GoldenGateE,52.04,1.71,Carquinez Strait,"Benicia to 
GoldenGateE",52.04 to 1.71,34,203,31,38.041233,-122.12382,37.82794,-122.46168
