estimate,se,lcl,ucl,StudyID,reach_start,reach_end,rkm_start,rkm_end,Region,Reach,RKM,reach_num,count_at_start,count_at_end,GenLat_start,GenLon_start,GenLat_end,GenLon_end
0.9770872,0.0126365,0.9338001,0.9923029,SB_Spring_2018,BlwOrd,ButteBr,361.72,344.1,Upper Sac R,"BlwOrd to 
ButteBr",361.72 to 344.1,11,187,204,39.56548,-122.0018,39.4569,-121.995
0.9752347,0.0058447,0.9607935,0.9844428,SB_Spring_2018,ButteBr,AbvColusaBr,344.1,307.73,Lower Sac R,"ButteBr to 
AbvColusaBr",344.1 to 307.73,12,204,267,39.4569,-121.995,39.2205,-122.00847
0.9987788,0.0034783,0.7534974,0.9999954,SB_Spring_2018,AbvColusaBr,MeridanBr,307.73,290.84,Lower Sac R,"AbvColusaBr to 
MeridanBr",307.73 to 290.84,13,267,235,39.2205,-122.00847,39.145542,-121.917984
0.9920719,0.0044633,0.9762734,0.9973791,SB_Spring_2018,MeridanBr,AbvTisdale,290.84,269.23,Lower Sac R,"MeridanBr to 
AbvTisdale",290.84 to 269.23,14,235,285,39.145542,-121.917984,39.0364,-121.82918
0.9829101,0.0048241,0.9703772,0.9901942,SB_Spring_2018,AbvTisdale,BlwChinaBend,269.23,240.61,Lower Sac R,"AbvTisdale to 
BlwChinaBend",269.23 to 240.61,15,285,273,39.0364,-121.82918,38.88406,-121.81713
0.9827423,0.010683,0.943079,0.9949166,SB_Spring_2018,BlwChinaBend,KnightsLanding,240.61,224.06,Lower Sac R,"BlwChinaBend to 
KnightsLanding",240.61 to 224.06,16,273,188,38.88406,-121.81713,38.82341,-121.72388
0.9720952,0.0125722,0.9335319,0.9885592,SB_Spring_2018,KnightsLanding,Blw_FRConf,224.06,203.46,Lower Sac R,"KnightsLanding to 
Blw_FRConf",224.06 to 203.46,17,188,190,38.82341,-121.72388,38.78212,-121.61526
0.985761,0.0118119,0.9300878,0.9972319,SB_Spring_2018,Blw_FRConf,I80-50_Br,203.46,170.74,Lower Sac R,"Blw_FRConf to 
I80-50_Br",203.46 to 170.74,18,190,157,38.78212,-121.61526,38.571133,-121.5164
0.9928308,0.0419171,0.0013427,0.9999999,SB_Spring_2018,I80-50_Br,Freeport,170.74,152.43,Lower Sac R,"I80-50_Br to 
Freeport",170.74 to 152.43,19,157,21,38.571133,-121.5164,38.46467,-121.50501
0.9999766,0.0017906,2.478352e-61,1,SB_Spring_2018,Freeport,Hood,152.43,138.22,Lower Sac R,"Freeport to 
Hood",152.43 to 138.22,20,21,117,38.46467,-121.50501,38.3617,-121.52033
0.9041417,0.0107359,0.8809362,0.9232187,SB_Spring_2018,Hood,Benicia,138.22,52.04,Lower Sac R,"Hood to 
Benicia",138.22 to 52.04,21,117,105,38.3617,-121.52033,38.041233,-122.12382
0.879316,0.0172096,0.841324,0.9091933,SB_Spring_2018,Benicia,GoldenGateE,52.04,1.71,Carquinez Strait,"Benicia to 
GoldenGateE",52.04 to 1.71,22,105,49,38.041233,-122.12382,37.82794,-122.46168
